"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"486","Connect Four","Four in a Row","Abstract Strategy Game","Beginner","Players take turns dropping colored discs into a grid to make a line of four.","2","6+","10-20 minutes","Connect Four grid; Colored discs","Be the first to connect four of your colored discs in a row.","Strategic planning; Pattern recognition; Problem-solving","2 minutes","Tabletop","Low","Develops critical thinking and planning skills","Board Games"
"487","Sorry!","None","Family Board Game","Beginner","Players move their pawns around the board with the goal of getting all their pawns home while sending others back to start.","4","6+","30 minutes","Game board; Pawns; Cards","Be the first to get all your pawns to the home space.","Counting; Strategy; Social interaction","5 minutes","Tabletop","Low","Encourages strategic thinking and social skills","Board Games"
"488","Candy Land","None","Children's Board Game","Beginner","A simple racing game where players move their pawn according to drawn cards through a colorful candy-themed path.","4","3+","15-20 minutes","Game board; Color cards; Pawns","Reach the Candy Castle at the end of the path first.","Color recognition; Counting; Patience","2 minutes","Tabletop","Low","Helps young children with color recognition and following directions","Board Games"
"489","Guess Who?","None","Deduction Game","Beginner","Players ask yes or no questions to eliminate characters and guess the opponent's chosen character.","2","6+","15 minutes","Guess Who? game boards; Character cards","Be the first to correctly guess the opponent's character.","Deductive reasoning; Observation; Questioning","2 minutes","Tabletop","Low","Develops deductive reasoning and questioning skills","Board Games"
"490","Stratego","None","Strategy Board Game","Intermediate","Players command an army of pieces with hidden values and attempt to capture the opponent's flag.","2","8+","45 minutes","Stratego game board; Army pieces; Flag","Capture the opponent's flag or eliminate all their movable pieces.","Strategic planning; Memory; Deduction","10 minutes","Tabletop","Low","Enhances strategic thinking and memory skills","Board Games"
"491","Trouble","Frustration","Family Board Game","Beginner","Players race to move all their pieces around the board to the finish, using the Pop-O-Matic die roller.","4","5+","30 minutes","Game board with Pop-O-Matic die; Pawns","Be the first to get all your pieces to the finish line.","Counting; Strategy; Patience","2 minutes","Tabletop","Low","Helps with counting and turn-taking","Board Games"
"492","Othello","Reversi","Abstract Strategy Game","Beginner to Intermediate","A two-player game where the goal is to have the majority of discs turned to display your color at the end of the game.","2","8+","30 minutes","Othello game board; Black and white discs","Have more discs of your color on the board than your opponent by the end of the game.","Strategic planning; Spatial reasoning; Foresight","2 minutes","Tabletop","Low","Develops strategic thinking and planning skills","Board Games"
"493","Sequence","None","Strategy Card Game","Beginner to Intermediate","Players use cards to place chips on a game board, aiming to create rows of five chips.","12","7+","30 minutes","Sequence game board; Playing cards; Chips","Be the first to create the required number of sequences (rows of five).","Strategic planning; Probability; Teamwork","5 minutes","Tabletop","Low","Enhances strategic thinking and probability assessment","Board Games"
"494","Blokus","None","Abstract Strategy Game","Beginner to Intermediate","Players take turns placing pieces on the board, with the goal of placing as many of their pieces as possible.","4","7+","20-30 minutes","Blokus game board; Colored pieces","Place all your pieces on the board while blocking opponents.","Spatial reasoning; Strategic planning; Problem-solving","2 minutes","Tabletop","Low","Develops spatial reasoning and strategic planning","Board Games"
"495","Go","None","Classic Strategy","Beginner to Professional","An abstract strategy board game for two players in which the aim is to surround more territory than the opponent.","2","8+","30 minutes to several hours","Go board; Black and white stones","Control more territory on the board than the opponent by placing stones strategically.","Strategic thinking; Patience; Spatial reasoning","5 minutes","Tabletop","Low","Enhances strategic thinking, patience, and spatial reasoning","Board Games"
"496","Backgammon","None","Classic Strategy","Intermediate","A two-player game combining strategy and luck where players move pieces according to the roll of dice.","2","10+","30-60 minutes","Backgammon board; Checkers; Dice","Move all your checkers off the board before your opponent.","Strategic planning; Probability; Counting","5 minutes","Tabletop","Low","Enhances strategic thinking and probability assessment","Board Games"
"497","The Game of Life","None","Family Game","Beginner","Players navigate life events from college to retirement, making choices that affect their wealth and happiness.","6","8+","1 hour","Game board; Spinner; Cars; Pegs; Cards; Money","Accumulate wealth and happiness to win the game.","Decision-making; Financial literacy; Risk assessment","10 minutes","Tabletop","Low","Introduces life choices and consequences in a fun way","Board Games"
"498","Pandemic","None","Cooperative Game","Intermediate","Players work together to stop global pandemics by treating diseases and finding cures.","4","8+","45 minutes","Game board; Role cards; Player cards; Disease cubes; Tokens","Work cooperatively to discover cures for all diseases before outbreaks overwhelm the world.","Teamwork; Strategic planning; Problem-solving","10 minutes","Tabletop","Low","Enhances cooperative skills and strategic thinking","Board Games"
"499","Forbidden Island","None","Cooperative Game","Beginner to Intermediate","A cooperative game where players work together to retrieve treasures from a sinking island.","4","10+","30 minutes","Tiles; Treasure figurines; Adventurer cards; Flood cards; Pawns","Collect all the treasures and escape the island before it sinks.","Teamwork; Strategic planning; Risk management","5 minutes","Tabletop","Low","Promotes teamwork and strategic thinking","Board Games"
"500","Gloomhaven","None","Cooperative Game","Advanced","A cooperative campaign-driven tactical combat game set in a fantasy world.","4","14+","1-2 hours per scenario","Game board; Character cards; Miniatures; Tokens; Scenario book","Work together to complete scenarios and progress through the story.","Strategic planning; Cooperation; Problem-solving","20-30 minutes","Tabletop","Low","Enhances cooperative skills and complex strategic thinking","Board Games"
"501","Axis & Allies","None","Strategy and War Game","Intermediate to Advanced","A strategy board game depicting World War II, where players command military forces to achieve victory.","5","12+","2-4 hours","Game board; Army pieces; Cards; Dice; Tokens","Achieve victory through military conquest, economic control, and strategic alliances.","Strategic planning; Resource management; Diplomacy","15 minutes","Tabletop","Low","Develops strategic thinking, historical awareness, and negotiation skills","Board Games"
"502","Azul","None","Abstract Game","Beginner to Intermediate","Players take turns drafting colored tiles to decorate their palace in a strategic pattern.","4","8+","30-45 minutes","Azul game board; Tiles; Scoring markers","Score the most points by placing tiles strategically on your board.","Strategic planning; Pattern recognition; Resource management","5 minutes","Tabletop","Low","Enhances strategic thinking and pattern recognition","Board Games"
"503","Qwirkle","None","Abstract Game","Beginner to Intermediate","Players match tiles based on color or shape to score points.","4","6+","30-45 minutes","Qwirkle tiles","Score the most points by creating lines of matching shapes or colors.","Pattern recognition; Strategic planning; Problem-solving","2 minutes","Tabletop","Low","Enhances pattern recognition and strategic thinking","Board Games"
"504","Scrabble","None","Word Game","Beginner to Advanced","Players create words on a game board using lettered tiles, earning points based on the letters used.","4","8+","50 minutes","Scrabble game set","Score the most points by creating high-scoring words.","Vocabulary; Spelling; Strategic thinking","5 minutes","Tabletop","Low","Enhances vocabulary and strategic planning","Board Games"
"505","Monopoly","None","Economic Strategy Game","Beginner to Intermediate","Players buy, sell, and trade properties to bankrupt opponents and monopolize the board.","8","8+","1-3 hours","Monopoly game set","Be the last player remaining with money.","Financial literacy; Negotiation; Strategic thinking","5 minutes","Tabletop","Low","Teaches money management and strategic planning","Board Games"
"506","Chess","International Chess; Western Chess","Strategy Board Game","Beginner to Grandmaster","A two-player game of strategic skill played on a checkered board, aiming to checkmate the opponent's king.","2","6+","10 minutes to several hours","Chessboard; 32 chess pieces","Checkmate the opponent's king.","Strategic thinking; Planning; Concentration","Under 5 minutes","Tabletop","Low","Develops logical reasoning and strategic planning","Board Games"
"507","Checkers","Draughts","Strategy Board Game","Beginner to Intermediate","A two-player game where opponents move disc-shaped pieces diagonally to capture the opponent's pieces.","2","6+","20-60 minutes","Checkers board; Pieces","Eliminate all of the opponent's pieces or block them from moving.","Strategic thinking; Planning; Concentration","Under 5 minutes","Tabletop","Low","Enhances strategic planning and foresight","Board Games"
"508","Backgammon","None","Strategy Board Game","Beginner to Advanced","A two-player game combining strategy and luck, where players move pieces according to dice rolls.","2","8+","30-60 minutes","Backgammon board; Checkers; Dice","Be the first to remove all your pieces from the board.","Strategic thinking; Probability; Risk management","Under 5 minutes","Tabletop","Low","Improves strategic thinking and understanding of probability","Board Games"
"509","Risk","None","Strategy Board Game","Intermediate to Advanced","Players control armies to conquer territories and eliminate opponents to achieve world domination.","6","10+","2-4 hours","Risk game set","Conquer all territories on the board.","Strategic planning; Negotiation; Risk assessment","10 minutes","Tabletop","Low","Enhances strategic thinking and global awareness","Board Games"
"510","The Game of Life","None","Family Board Game","Beginner","Players navigate through life events, making choices about career, family, and finances.","6","8+","1 hour","The Game of Life board game","Accumulate the most wealth by the end of the game.","Decision-making; Financial literacy; Planning","5 minutes","Tabletop","Low","Teaches life choices and consequences","Board Games"
"511","Uno","None","Card Game","Beginner","Players take turns matching a card in their hand with the current card shown on top of the deck by color or number.","10","7+","30 minutes","Uno card deck","Be the first to play all your cards.","Color recognition; Number matching; Strategic thinking","Under 2 minutes","Tabletop","Low","Improves matching skills and strategic thinking","Card Games"
"512","Go Fish","None","Card Game","Beginner","Players collect sets of four cards of the same rank by asking other players for cards and drawing from the pool.","6","4+","15-30 minutes","Standard deck of cards","Collect the most sets of four matching cards.","Memory; Probability; Social interaction","Under 2 minutes","Tabletop","Low","Enhances memory and social skills","Children's Games"
"513","Pictionary","None","Drawing Game","Beginner","Players draw clues for their teammates to guess specific words or phrases within a time limit.","Unlimited","8+","Variable","Pictionary game set; Drawing pad; Timer","Be the first team to reach the end of the game board by correctly guessing drawings.","Creativity; Visual communication; Teamwork","5 minutes","Tabletop or open space","Low","Encourages creativity and visual expression","Party Games"
"514","Taboo","None","Word Game","Beginner to Intermediate","Players describe a word to their teammates without using the word itself or five additional forbidden words.","10","12+","Variable","Taboo game cards; Timer; Buzzer","Score points by correctly guessing words without using forbidden terms.","Vocabulary; Quick thinking; Communication","2 minutes","Tabletop","Low","Enhances vocabulary and creative communication","Party Games"
"515","Boggle","None","Word Game","Beginner to Intermediate","Players search for words in sequences of adjacent letters on a grid within a time limit.","8","8+","10 minutes per round","Boggle letter grid; Timer","Find more words than your opponents in the allotted time.","Vocabulary; Spelling; Pattern recognition","1 minute","Tabletop","Low","Improves vocabulary and quick thinking","Mind Games"
"516","Tic-Tac-Toe","Noughts and Crosses","Paper-and-Pencil Game","Beginner","Players take turns marking spaces in a 3x3 grid with X or O, aiming to place three marks in a row.","2","4+","5 minutes","Paper; Pencil","Be the first to get three of your marks in a row.","Strategic thinking; Planning; Pattern recognition","Under 1 minute","Anywhere","Low","Develops strategic thinking and planning","Children's Games"
"517","Mahjong (China)","None","Tile Game","Intermediate to Advanced","A game of skill, strategy, and calculation involving a set of 144 tiles based on Chinese characters and symbols.","4","12+","2-3 hours","Mahjong tiles; Scoring sticks","Be the first to complete a legal hand by drawing and discarding tiles.","Pattern recognition; Memory; Strategic thinking","10 minutes","Tabletop","Low","Enhances memory and strategic planning","Traditional and Cultural Games"
"518","Tetris","None","Puzzle Video Game","Beginner to Advanced","Players manipulate falling tetrominoes to create horizontal lines without gaps, which then disappear.","1","6+","Variable","Computer or gaming device; Game software","Score points by clearing lines and preventing the blocks from reaching the top.","Spatial reasoning; Quick thinking; Problem-solving","None","Home gaming setup","Low","Develops spatial awareness and problem-solving skills","Video Games"
"519","Candy Land","None","Board Game","Beginner","Players race to reach the Candy Castle by drawing colored cards to advance along the path.","4","3+","15-30 minutes","Candy Land game set","Be the first to reach the Candy Castle.","Color recognition; Patience; Turn-taking","2 minutes","Tabletop","Low","Introduces board game mechanics to young children","Children's Games"
"520","Operation","None","Skill Game","Beginner","Players remove various ailments from a patient on the game board without touching the sides of the cavities.","6","6+","15 minutes","Operation game set","Remove all ailments without triggering the buzzer.","Fine motor skills; Hand-eye coordination; Concentration","2 minutes","Tabletop","Low","Improves fine motor skills and concentration","Children's Games"
"521","Simon","None","Electronic Memory Game","Beginner","Players repeat increasingly long sequences of lights and sounds by pressing colored buttons.","1+","7+","Variable","Simon game device","Repeat the longest sequence of signals correctly.","Memory; Concentration; Pattern recognition","Under 1 minute","Anywhere","Low","Enhances memory and attention skills","Mind Games"
"522","Battleship","None","Strategy Board Game","Beginner to Intermediate","Players try to sink each other's fleet of ships by guessing their locations on a grid.","2","7+","30 minutes","Battleship game set","Sink all of your opponent's ships before they sink yours.","Strategic thinking; Logical reasoning; Memory","2 minutes","Tabletop","Low","Develops strategic thinking and deduction skills","Board Games"
"523","Connect Four","None","Strategy Game","Beginner","Players drop colored discs into a vertical grid, aiming to be the first to form a line of four discs.","2","6+","10-30 minutes","Connect Four game set","Be the first to connect four of your colored discs in a row.","Strategic thinking; Planning; Pattern recognition","Under 1 minute","Tabletop","Low","Enhances strategic thinking and foresight","Children's Games"
"524","Clue","Cluedo","Deduction Board Game","Beginner to Intermediate","Players move around a mansion to solve a mystery by deducing the murderer, weapon, and location.","6","8+","45-60 minutes","Clue game set","Be the first to correctly identify the murderer, weapon, and room.","Deductive reasoning; Logical thinking; Memory","5 minutes","Tabletop","Low","Enhances deductive reasoning and problem-solving skills","Board Games"
"525","Twister","None","Physical Skill Game","Beginner","Players place hands and feet on colored circles according to a spinner, entangling with others.","4","6+","15-30 minutes","Twister mat; Spinner","Avoid falling while following the spinner's instructions.","Balance; Flexibility; Coordination","2 minutes","Open space","Moderate","Improves balance and coordination","Physical Fitness Games"
"526","Jenga","None","Block Stacking Game","Beginner","Players take turns removing one block at a time from a tower and placing it on top without causing it to collapse.","Unlimited","6+","15-30 minutes","Jenga blocks","Be the last player to successfully remove and stack a block without collapsing the tower.","Fine motor skills; Strategic thinking; Concentration","2 minutes","Tabletop or floor","Low","Enhances fine motor skills and strategic planning","Party Games"
"527","Guess Who?","None","Deduction Board Game","Beginner","Players ask yes/no questions to eliminate characters and guess the opponent's mystery person.","2","6+","15-30 minutes","Guess Who? game set","Be the first to correctly guess the opponent's mystery character.","Deductive reasoning; Question formulation; Memory","2 minutes","Tabletop","Low","Develops deductive reasoning and critical thinking","Children's Games"
"528","Cranium","None","Party Board Game","Beginner to Intermediate","Teams complete activities involving creativity, performance, data, and word puzzles to advance on the board.","16","13+","60 minutes","Cranium game set","Be the first team to reach the end by successfully completing activities.","Creativity; Teamwork; General knowledge","5 minutes","Tabletop","Low","Encourages creativity and teamwork across various skills","Party Games"
"529","Stratego","None","Strategy Board Game","Beginner to Intermediate","Players control pieces with hidden ranks to capture the opponent's flag while avoiding bombs.","2","8+","45 minutes","Stratego game set","Capture the opponent's flag or eliminate all movable pieces.","Strategic thinking; Memory; Bluffing","5 minutes","Tabletop","Low","Enhances strategic planning and memory skills","Board Games"
"530","Munchkin","None","Card Game","Intermediate","A humorous game where players compete to reach level 10 by defeating monsters and collecting items.","6","10+","60-90 minutes","Munchkin card deck","Be the first to reach level 10.","Strategic thinking; Negotiation; Humor appreciation","5 minutes","Tabletop","Low","Develops strategic planning and social interaction","Card Games"
"531","Mouse Trap","None","Children's Board Game","Beginner","Players build a complex mousetrap as they move around the board, aiming to trap opponents' mice.","4","6+","30-45 minutes","Mouse Trap game set","Be the last mouse in the game by trapping opponents.","Understanding cause and effect; Patience; Fine motor skills","10 minutes","Tabletop","Low","Introduces basic engineering concepts and patience","Children's Games"
"532","Perfection","None","Action Game","Beginner","Players fit shapes into matching holes on a board before time runs out and the pieces pop up.","1","5+","5 minutes per round","Perfection game set","Place all shapes correctly before the timer ends.","Shape recognition; Speed; Fine motor skills","1 minute","Tabletop","Low","Improves shape recognition and time management","Children's Games"
"533","KerPlunk","None","Dexterity Game","Beginner","Players remove sticks from a tube while trying to minimize the number of marbles that fall.","4","5+","15-30 minutes","KerPlunk game set","Have the fewest marbles fall during your turn.","Fine motor skills; Strategic planning; Patience","5 minutes","Tabletop","Low","Enhances fine motor skills and strategic thinking","Party Games"
"534","One Night Ultimate Werewolf","None","Social Deduction Game","Beginner to Intermediate","A fast-paced game where players have secret roles and try to discover who among them is the werewolf.","10","8+","10 minutes","One Night Ultimate Werewolf game set; Mobile app (optional)","Identify and eliminate the werewolf, or, as the werewolf, avoid detection.","Deductive reasoning; Bluffing; Communication","2 minutes","Tabletop","Low","Enhances social deduction and communication skills","Party Games"
"535","Secret Hitler","None","Social Deduction Game","Intermediate","A game of political intrigue set in 1930s Germany, where players are secretly liberals or fascists, with one player as Hitler.","10","13+","45 minutes","Secret Hitler game set","Liberals aim to stop the fascists; fascists aim to pass policies and elect Hitler as Chancellor.","Deductive reasoning; Bluffing; Strategic thinking","5 minutes","Tabletop","Low","Develops strategic planning and negotiation skills","Party Games"
"536","Spirit Island","None","Cooperative Strategy Game","Advanced","Players are spirits defending their island from colonizing invaders, using powers to drive them away.","4","13+","90-120 minutes","Spirit Island game set","Work together to repel invaders and protect the island.","Strategic planning; Cooperation; Problem-solving","10 minutes","Tabletop","Low","Enhances strategic thinking and cooperative skills","Board Games"
"537","Wingspan","None","Engine-Building Game","Intermediate","A competitive game where players attract birds to their wildlife preserves, each bird with unique abilities.","5","10+","40-70 minutes","Wingspan game set","Score the most points by building habitats and attracting birds.","Strategic planning; Resource management; Knowledge of bird species","5 minutes","Tabletop","Low","Encourages strategic thinking and interest in ornithology","Board Games"
"538","Root","None","Asymmetrical Strategy Game","Intermediate to Advanced","Players control different woodland factions with unique abilities, competing for control of a forest.","4","10+","60-90 minutes","Root game set","Achieve the highest score by completing your faction's objectives.","Strategic planning; Negotiation; Tactical thinking","10 minutes","Tabletop","Low","Enhances strategic thinking and adaptability","Board Games"
"539","Gloomhaven","None","Campaign-Based Dungeon Crawler","Advanced","A cooperative game featuring tactical combat and an evolving narrative, played over many sessions.","4","14+","60-120 minutes per session","Gloomhaven game set","Work together to complete scenarios and progress the story.","Teamwork; Strategic planning; Problem-solving","15 minutes","Tabletop","Low","Develops strategic thinking and cooperative problem-solving","Board Games"
"540","Betrayal at House on the Hill","None","Horror Adventure Game","Intermediate","Players explore a haunted mansion, and one becomes a traitor in one of 50 possible scenarios.","6","12+","60 minutes","Betrayal at House on the Hill game set","Survive the haunt and achieve your objectives, whether as a hero or traitor.","Exploration; Strategy; Teamwork","10 minutes","Tabletop","Low","Enhances teamwork and strategic decision-making","Board Games"
"541","Tokaido","None","Set Collection Game","Beginner to Intermediate","Players journey along the East Sea Road in Japan, stopping at various locations to gain points.","5","8+","45 minutes","Tokaido game set","Have the most fulfilling journey by collecting experiences and items.","Strategic planning; Resource management; Cultural appreciation","5 minutes","Tabletop","Low","Encourages strategic thinking and cultural awareness","Board Games"
"542","Small World","None","Area Control Game","Beginner to Intermediate","Players control fantasy races with special powers, conquering territories and pushing opponents off the map.","5","8+","40-80 minutes","Small World game set","Score the most victory points by expanding and managing your civilizations.","Strategic planning; Resource management; Tactical thinking","10 minutes","Tabletop","Low","Enhances strategic thinking and planning skills","Board Games"
"543","Century: Spice Road","None","Engine-Building Game","Beginner to Intermediate","Players are caravan leaders trading spices to acquire wealth and fame along the Spice Road.","5","8+","30-45 minutes","Century: Spice Road game set","Score the most points by trading spices for point cards efficiently.","Resource management; Strategic planning; Trading skills","5 minutes","Tabletop","Low","Develops strategic planning and resource management skills","Board Games"
"544","7 Wonders Duel","None","Strategy Card Game","Intermediate","A two-player version of 7 Wonders where players compete to build civilizations and wonders.","2","10+","30 minutes","7 Wonders Duel game set","Win by achieving military, scientific, or civilian victories.","Strategic planning; Resource management; Decision-making","5 minutes","Tabletop","Low","Enhances strategic thinking and planning skills","Board Games"
"545","The Resistance: Avalon","None","Social Deduction Game","Intermediate","A game of hidden roles set in Arthurian legend, where players deduce who is loyal and who is a minion of Mordred.","10","13+","30 minutes","The Resistance: Avalon game set","Complete missions successfully without being sabotaged by minions.","Deductive reasoning; Bluffing; Teamwork","5 minutes","Tabletop","Low","Develops social deduction and strategic thinking","Party Games"
"546","Ticket to Ride: Europe","None","Strategy Board Game","Beginner to Intermediate","Players collect train cards to claim railway routes across Europe, with additional mechanics like tunnels and ferries.","5","8+","30-60 minutes","Ticket to Ride: Europe game set","Score the most points by completing routes and connecting cities.","Strategic planning; Geography knowledge; Risk management","5 minutes","Tabletop","Low","Enhances strategic thinking and geographical knowledge","Board Games"
"547","Kingdomino","None","Tile-Laying Game","Beginner","Players build their own 5x5 kingdom by connecting domino-like tiles with different terrains and crowns.","4","8+","15-20 minutes","Kingdomino game set","Score the most points by creating a kingdom with valuable terrains.","Spatial reasoning; Strategic planning; Probability","2 minutes","Tabletop","Low","Enhances spatial awareness and strategic thinking","Board Games"
"548","Sushi Go Party!","None","Card Game","Beginner to Intermediate","An expanded version of Sushi Go! where players draft sushi dishes to create high-scoring combinations.","8","8+","20 minutes","Sushi Go Party! card deck","Score the most points by collecting the best sushi combinations.","Strategic thinking; Probability; Quick decision-making","2 minutes","Tabletop","Low","Improves strategic planning and probability assessment","Card Games"
"549","Carcassonne: Hunters and Gatherers","None","Tile-Placement Game","Beginner to Intermediate","A standalone Carcassonne game where players build forests, rivers, and meadows in the Stone Age.","5","8+","30-45 minutes","Carcassonne: Hunters and Gatherers game set","Score the most points by completing features and placing meeples strategically.","Spatial reasoning; Strategic planning; Risk management","5 minutes","Tabletop","Low","Enhances spatial awareness and strategic thinking","Board Games"
"550","Forbidden Sky","None","Cooperative Board Game","Intermediate","Players work together to build a circuit of cables to launch a rocket before a storm strands them.","5","10+","60 minutes","Forbidden Sky game set","Complete the circuit and launch the rocket before time runs out.","Teamwork; Strategic planning; Problem-solving","5 minutes","Tabletop","Low","Enhances cooperative skills and strategic thinking","Board Games"
"551","Codenames: Pictures","None","Word Game","Beginner to Intermediate","A variant of Codenames using images instead of words, where teams guess the correct pictures based on clues.","8","10+","15-30 minutes","Codenames: Pictures game set","Correctly guess all your team's pictures based on the spymaster's clues.","Visual association; Teamwork; Strategic thinking","5 minutes","Tabletop","Low","Enhances visual perception and team communication","Mind Games"
"552","Just One","None","Cooperative Word Game","Beginner","Players work together to guess mystery words by giving unique one-word clues.","7","8+","20 minutes","Just One game set","Correctly guess as many mystery words as possible as a team.","Creativity; Communication; Vocabulary","2 minutes","Tabletop","Low","Improves communication and creative thinking","Party Games"
"553","Detective Club","None","Party Game","Beginner to Intermediate","Players use illustrated cards to support a secret word, while one player doesn't know the word and must bluff.","8","8+","45 minutes","Detective Club game set","Identify the conspirator who doesn't know the secret word.","Creativity; Deduction; Bluffing","5 minutes","Tabletop","Low","Enhances creativity and social deduction skills","Party Games"
"554","Potion Explosion","None","Puzzle Board Game","Beginner to Intermediate","Players collect marbles representing ingredients to brew potions with special abilities.","4","8+","30-60 minutes","Potion Explosion game set","Score the most points by brewing potions and using their effects.","Pattern recognition; Strategic planning; Resource management","5 minutes","Tabletop","Low","Develops strategic thinking and resource management","Board Games"
"555","Patchwork","None","Abstract Strategy Game","Beginner to Intermediate","Two players compete to build the most aesthetic quilt on a personal game board using Tetris-like pieces.","2","8+","30 minutes","Patchwork game set","Accumulate the most buttons by efficiently placing patch tiles.","Spatial reasoning; Strategic planning; Resource management","2 minutes","Tabletop","Low","Enhances strategic planning and spatial skills","Board Games"
"556","Azul: Stained Glass of Sintra","None","Abstract Strategy Game","Beginner to Intermediate","A sequel to Azul where players create stained glass windows using colorful tiles.","4","8+","30-45 minutes","Azul: Stained Glass of Sintra game set","Score the most points by strategically placing glass panes on your board.","Pattern recognition; Strategic planning; Resource management","5 minutes","Tabletop","Low","Develops pattern recognition and strategic skills","Board Games"
"557","Escape: The Curse of the Temple","None","Real-Time Cooperative Game","Beginner to Intermediate","Players work together in real-time to escape a cursed temple by rolling dice and exploring rooms.","5","8+","10 minutes","Escape game set; Timer (audio track)","Escape the temple within 10 minutes by activating gems and finding the exit.","Teamwork; Quick thinking; Coordination","5 minutes","Tabletop","Moderate","Enhances teamwork and time management","Board Games"
"558","Cartographers: A Roll Player Tale","None","Map-Drawing Game","Beginner to Intermediate","Players draw shapes on their map sheets based on cards flipped each round, aiming to fulfill scoring objectives.","100","10+","30-45 minutes","Cartographers game set; Pencils","Score the most points by creating a map that meets objectives.","Spatial reasoning; Strategic planning; Creativity","2 minutes","Tabletop","Low","Enhances spatial awareness and planning skills","Board Games"
"559","Welcome To...","None","Flip-and-Write Game","Beginner to Intermediate","Players act as architects designing a 1950s neighborhood, placing house numbers and building features.","100","10+","25 minutes","Welcome To... game set; Pencils","Score the most points by planning and building the best neighborhood.","Strategic planning; Number sequencing; Resource management","2 minutes","Tabletop","Low","Develops planning and numerical skills","Board Games"
"560","The Mind","None","Cooperative Card Game","Beginner to Intermediate","Players must play cards in ascending order without communicating, relying on a shared sense of timing.","4","8+","15 minutes","The Mind card game","Complete all levels by playing cards in the correct order silently.","Teamwork; Intuition; Timing","1 minute","Tabletop","Low","Enhances team synchronization and intuition","Card Games"
"561","Sagrada","None","Dice-Drafting Game","Intermediate","Players design a stained-glass window using colorful dice, following specific placement rules.","4","13+","30-45 minutes","Sagrada game set","Score the most points by creating a window that meets patterns and objectives.","Pattern recognition; Strategic planning; Spatial reasoning","5 minutes","Tabletop","Low","Develops pattern recognition and strategic thinking","Board Games"
"562","Flamme Rouge","None","Racing Game","Beginner to Intermediate","Players control a team of cyclists, using cards to move them towards the finish line while managing energy.","4","8+","30-45 minutes","Flamme Rouge game set","Be the first to cross the finish line with your cyclist.","Strategic planning; Resource management; Risk assessment","5 minutes","Tabletop","Low","Enhances strategic thinking and planning skills","Board Games"
"563","Codenames: Duet","None","Cooperative Word Game","Beginner to Intermediate","A two-player version of Codenames where players work together to find all agents without triggering assassins.","2","11+","15-30 minutes","Codenames: Duet game set","Find all the agents based on one-word clues within the time limit.","Word association; Teamwork; Strategic thinking","5 minutes","Tabletop","Low","Enhances communication and cooperative skills","Mind Games"
"564","Spyfall","None","Social Deduction Game","Beginner to Intermediate","Players are at a location, and one is the spy who doesn't know where; players ask questions to uncover the spy.","8","13+","15 minutes per round","Spyfall cards or app","Identify the spy or, as the spy, guess the location.","Deductive reasoning; Bluffing; Communication","2 minutes","Tabletop","Low","Enhances deductive reasoning and social interaction","Party Games"
"565","Exploding Kittens","None","Card Game","Beginner","Players draw cards until someone draws an exploding kitten and loses; players use cards to avoid exploding.","5","7+","15 minutes","Exploding Kittens card deck","Be the last player remaining without exploding.","Strategic thinking; Risk management; Bluffing","2 minutes","Tabletop","Low","Develops strategic planning and risk assessment","Party Games"
"566","Terraforming Mars","None","Strategy Board Game","Intermediate to Advanced","Players control corporations competing to terraform Mars by raising temperature, oxygen levels, and creating oceans.","5","12+","120 minutes","Terraforming Mars game set","Score the most points by contributing to terraforming and completing projects.","Strategic planning; Resource management; Scientific concepts","10 minutes","Tabletop","Low","Enhances strategic thinking and introduces scientific ideas","Board Games"
"567","Century: Golem Edition","None","Engine-Building Game","Beginner to Intermediate","A re-themed version of Century: Spice Road with golems and crystals, focusing on trading and engine-building.","5","8+","30-45 minutes","Century: Golem Edition game set","Score the most points by trading crystals for point cards efficiently.","Resource management; Strategic planning; Trading skills","5 minutes","Tabletop","Low","Develops strategic planning and resource management skills","Board Games"
"568","The Quacks of Quedlinburg","None","Push-Your-Luck Game","Intermediate","Players are quack doctors brewing potions by drawing ingredients from a bag, risking explosions for better potions.","4","10+","45 minutes","The Quacks of Quedlinburg game set","Score the most points by brewing the best potions without causing explosions.","Risk management; Probability; Resource management","5 minutes","Tabletop","Low","Enhances decision-making and risk assessment","Board Games"
"569","Everdell","None","Worker Placement Game","Intermediate","Players develop a woodland city over four seasons, placing workers and playing cards to build structures and attract critters.","4","13+","40-80 minutes","Everdell game set","Score the most points by building a prosperous city.","Strategic planning; Resource management; Timing","10 minutes","Tabletop","Low","Develops strategic thinking and planning skills","Board Games"
"570","Pandemic Legacy: Season 1","None","Legacy Cooperative Game","Advanced","A campaign version of Pandemic where the game evolves over multiple sessions, with permanent changes.","4","13+","60 minutes per session","Pandemic Legacy: Season 1 game set","Stop the spread of diseases and discover cures throughout the campaign.","Teamwork; Strategic planning; Storytelling","10 minutes","Tabletop","Low","Enhances cooperative skills and strategic thinking","Board Games"
"571","Scythe","None","Strategy Board Game","Advanced","Players lead factions in an alternate-history 1920s Europe, managing resources and building mechs.","5","14+","90-115 minutes","Scythe game set","Accumulate the most wealth by expanding territory and upgrading abilities.","Strategic planning; Resource management; Tactical combat","10 minutes","Tabletop","Low","Develops strategic thinking and resource management","Board Games"
